fiscal_year,rd_expense,fiscal_period,filed,cik,source
2013.0,2429000000,FY,2013-10-30,320193,xbrl
2013.0,758000000,Q1,2013-01-24,320193,xbrl
2013.0,1599000000,Q2,2013-04-24,320193,xbrl
2013.0,841000000,Q2,2013-04-24,320193,xbrl
2013.0,2475000000,Q3,2013-07-24,320193,xbrl
2013.0,876000000,Q3,2013-07-24,320193,xbrl
2013.0,3381000000,FY,2013-10-30,320193,xbrl
2014.0,3381000000,FY,2014-10-27,320193,xbrl
2013.0,1010000000,Q1,2013-01-24,320193,xbrl
2014.0,1010000000,Q1,2014-01-28,320193,xbrl
2013.0,2129000000,Q2,2013-04-24,320193,xbrl
2014.0,2129000000,Q2,2014-04-24,320193,xbrl
2013.0,1119000000,Q2,2013-04-24,320193,xbrl
2014.0,1119000000,Q2,2014-04-24,320193,xbrl
2013.0,3307000000,Q3,2013-07-24,320193,xbrl
2014.0,3307000000,Q3,2014-07-23,320193,xbrl
2013.0,1178000000,Q3,2013-07-24,320193,xbrl
2014.0,1178000000,Q3,2014-07-23,320193,xbrl
2013.0,4475000000,FY,2013-10-30,320193,xbrl
2014.0,4475000000,FY,2014-10-27,320193,xbrl
2015.0,4475000000,FY,2015-10-28,320193,xbrl
2014.0,1330000000,Q1,2014-01-28,320193,xbrl
2015.0,1330000000,Q1,2015-01-28,320193,xbrl
2014.0,2752000000,Q2,2014-04-24,320193,xbrl
2015.0,2752000000,Q2,2015-04-28,320193,xbrl
2014.0,1422000000,Q2,2014-04-24,320193,xbrl
2015.0,1422000000,Q2,2015-04-28,320193,xbrl
2014.0,4355000000,Q3,2014-07-23,320193,xbrl
2015.0,4355000000,Q3,2015-07-22,320193,xbrl
2014.0,1603000000,Q3,2014-07-23,320193,xbrl
2015.0,1603000000,Q3,2015-07-22,320193,xbrl
2014.0,6041000000,FY,2014-10-27,320193,xbrl
2015.0,6041000000,FY,2015-10-28,320193,xbrl
2016.0,6041000000,FY,2016-10-26,320193,xbrl
2015.0,1895000000,Q1,2015-01-28,320193,xbrl
2016.0,1895000000,Q1,2016-01-27,320193,xbrl
2015.0,3813000000,Q2,2015-04-28,320193,xbrl
2016.0,3813000000,Q2,2016-04-27,320193,xbrl
2015.0,1918000000,Q2,2015-04-28,320193,xbrl
2016.0,1918000000,Q2,2016-04-27,320193,xbrl
2015.0,5847000000,Q3,2015-07-22,320193,xbrl
2016.0,5847000000,Q3,2016-07-27,320193,xbrl
2015.0,2034000000,Q3,2015-07-22,320193,xbrl
2016.0,2034000000,Q3,2016-07-27,320193,xbrl
2015.0,8067000000,FY,2015-10-28,320193,xbrl
2016.0,8067000000,FY,2016-10-26,320193,xbrl
2017.0,8067000000,FY,2017-11-03,320193,xbrl
2016.0,2404000000,Q1,2016-01-27,320193,xbrl
2017.0,2404000000,Q1,2017-02-01,320193,xbrl
2016.0,4915000000,Q2,2016-04-27,320193,xbrl
2017.0,4915000000,Q2,2017-05-03,320193,xbrl
2016.0,2511000000,Q2,2016-04-27,320193,xbrl
2017.0,2511000000,Q2,2017-05-03,320193,xbrl
2016.0,7475000000,Q3,2016-07-27,320193,xbrl
2017.0,7475000000,Q3,2017-08-02,320193,xbrl
2016.0,2560000000,Q3,2016-07-27,320193,xbrl
